Station,Year,Month,AVG_Monthly_Min_Temp,AVG_Monthly_Max_Temp,AVG_Monthly_Rainfall,AVG_Monthly_Sunshine,AVG_Monthly_Humidity
Bogra,1965,12,13.1,26.0,0.0,8.3,69.0
Chittagong,1965,1,13.7,25.4,0.0,9.1,70.0
Chittagong,1965,2,15.5,26.8,2.0,8.4,70.0
Chittagong,1965,3,18.9,29.4,1.0,8.2,71.0
Chittagong,1965,4,22.7,30.9,0.0,9.3,76.0
Chittagong,1965,5,24.5,31.7,6.0,8.3,78.0
Chittagong,1965,6,24.4,29.6,21.0,3.2,85.0
Chittagong,1965,7,24.1,29.3,28.0,6.3,84.0
Chittagong,1965,8,24.1,28.9,20.0,3.5,87.0
Chittagong,1965,9,24.2,30.7,7.0,5.3,82.0
Chittagong,1965,10,23.4,30.5,5.0,7.0,81.0
Chittagong,1965,11,19.4,29.1,0.0,9.9,77.0
Chittagong,1965,12,20.9,29.9,0.0,7.9,77.0
Cox's Bazar,1965,1,14.0,25.6,0.0,8.2,69.0
Cox's Bazar,1965,2,16.3,26.7,2.0,8.8,77.0
Cox's Bazar,1965,3,18.5,28.7,0.0,9.5,72.0
Cox's Bazar,1965,4,22.8,29.9,0.0,10.3,74.0
Cox's Bazar,1965,5,24.6,30.7,12.0,8.5,77.0
Cox's Bazar,1965,6,24.1,28.6,38.0,5.1,88.0
Cox's Bazar,1965,7,23.8,27.9,37.0,6.4,88.0
Cox's Bazar,1965,8,24.0,27.8,30.0,6.5,89.0
Cox's Bazar,1965,9,24.2,29.0,8.0,6.6,84.0
Cox's Bazar,1965,10,23.2,29.4,14.0,6.7,83.0
Cox's Bazar,1965,11,19.8,28.3,1.0,10.2,76.0
Cox's Bazar,1965,12,18.3,26.2,3.0,7.7,77.0
Dhaka,1965,1,11.4,24.8,0.0,7.9,67.0
Dhaka,1965,2,14.3,27.3,1.0,8.5,62.0
Dhaka,1965,3,17.4,31.4,1.0,9.6,55.0
Dhaka,1965,4,22.7,33.4,2.0,9.4,66.0
Dhaka,1965,5,24.9,32.5,9.0,9.4,75.0
Dhaka,1965,6,25.0,30.0,15.0,4.1,85.0
Dhaka,1965,7,25.3,29.8,8.0,5.8,83.0
Dhaka,1965,8,24.8,29.4,16.0,4.8,85.0
Dhaka,1965,9,25.2,30.3,10.0,5.9,83.0
Dhaka,1965,10,22.7,30.4,2.0,8.0,78.0
Dhaka,1965,11,17.7,28.6,5.0,9.9,75.0
Dhaka,1965,12,14.2,25.5,0.0,7.9,77.0
Sylhet,1965,1,12.6,24.8,0.0,9.0,68.0
Sylhet,1965,2,14.2,25.7,4.0,7.7,68.0
Sylhet,1965,3,16.0,29.0,2.0,8.0,60.0
Sylhet,1965,4,20.5,30.1,9.0,8.1,72.0
Sylhet,1965,5,22.4,30.1,11.0,6.7,78.0
Sylhet,1965,6,23.8,29.0,29.0,2.6,86.0
Sylhet,1965,7,24.3,29.4,14.0,3.4,85.0
Sylhet,1965,8,23.8,28.5,21.0,3.4,87.0
Sylhet,1965,9,24.1,29.7,18.0,4.5,86.0
Sylhet,1965,10,22.0,30.0,6.0,7.9,82.0
Sylhet,1965,11,17.0,27.6,4.0,9.2,77.0
Sylhet,1965,12,14.8,25.9,1.0,7.6,74.0
Chittagong,1966,1,15.4,24.9,0.0,6.2,73.0
Chittagong,1966,2,16.8,28.1,0.0,9.8,74.0
Chittagong,1966,3,19.7,29.2,1.0,8.9,74.0
Chittagong,1966,4,20.6,29.6,0.0,9.0,76.0
Chittagong,1966,5,25.2,32.0,6.0,8.5,78.0
Chittagong,1966,6,24.6,28.7,18.0,2.6,87.0
Chittagong,1966,7,24.3,30.5,6.0,4.9,82.0
Chittagong,1966,8,24.4,29.4,18.0,3.7,86.0
Chittagong,1966,9,24.6,30.4,11.0,5.3,82.0
Chittagong,1966,10,22.9,29.9,8.0,7.2,82.0
Chittagong,1966,11,20.8,29.5,0.0,8.3,75.0
Chittagong,1966,12,16.0,24.9,4.0,7.7,76.0
Cox's Bazar,1966,1,15.5,25.2,0.0,9.7,75.0
